depth;pointid;oc;th_lat;th_long;survey_date;elev;lc0_desc;lc1_desc;lu1_desc
0-20 cm;147022884;36.2;48.94799358;15.20494258;01/08/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;147042780;36.2;48.01373378;15.13568848;16/05/18;0;Shrubland;Shrubland without tree cover;Forestry
0-20 cm;147042788;81.8;48.0855196;15.14295123;14/06/18;0;Woodland;Other mixed woodland;Forestry
0-20 cm;147042874;12.7;48.85703064;15.22270532;23/07/18;0;Cropland;Potatoes;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147082754;162.9;47.77790891;15.16550245;24/07/18;0;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;147082776;33.3;47.97532887;15.18551031;01/06/18;0;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;147362808;18;48.24402118;15.59103822;24/05/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147102754;205.1;47.77664936;15.19212015;24/07/18;0;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;147122762;13.5;47.84717109;15.22606358;24/07/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;147482810;16.5;48.25366633;15.75417784;24/05/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147182762;112.6;47.8433281;15.30601701;04/07/18;0;Woodland;Other coniferous woodland;Forestry
0-20 cm;147182802;23.2;48.20218867;15.34360954;10/07/18;0;Woodland;Other mixed woodland;Forestry
0-20 cm;147202848;43.6;48.61346751;15.41474181;28/05/18;0;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147222878;20.3;48.8811597;15.47133227;23/07/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;147242764;147.3;47.85737019;15.38785093;24/07/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;147242774;82.4;47.94708374;15.39733381;29/05/18;0;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;147282790;30.4;48.08796703;15.46614489;01/06/18;0;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147302860;37.7;48.71438211;15.56199577;06/07/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
