depth;pointid;oc;th_lat;th_long;survey_date;elev;lc0_desc;lc1_desc;lu1_desc
0-20 cm;153662376;16.1;43.67485498;23.00017897;09/10/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;156082364;10.4;43.14989009;25.91248879;26/07/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;153782378;17;43.67377748;23.15097479;14/09/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;153822386;13.9;43.73836806;23.2162635;14/09/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;153842348;24.3;43.39833036;23.16324287;05/09/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146802974;12.2;49.76886788;14.9870943;07/08/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;153922390;21.1;43.75788889;23.34690696;30/05/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154422324;13.4;43.09199043;23.81732639;29/08/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154802332;31.3;43.09886541;24.29383495;18/07/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;142962776;13.7;48.09705216;9.664531687;15/09/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154142364;17.9;43.4920986;23.56140976;27/08/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;143002766;13.2;48.00722154;9.718703739;16/09/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154322346;14.2;43.30327082;23.74250215;06/08/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154322396;18.7;43.74580299;23.84890299;03/09/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154422352;17.6;43.33984802;23.87661006;05/06/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154462372;19.5;43.51014465;23.96807167;13/07/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;143182784;17.7;48.16953821;9.959686456;09/07/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;144842784;34.8;48.14780479;12.18979894;18/09/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154642318;17.9;43.00218116;24.07039102;13/07/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154642354;16.8;43.32063305;24.14792766;08/08/2018;0;Cropland;Other fresh vegetables;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;144762836;22.5;48.61750686;12.10179798;11/09/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;144862848;13.1;48.72275278;12.24216608;07/09/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154722380;19.5;43.53685946;24.30203079;13/07/2018;0;Cropland;Rape and turnip rape;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;145502864;15.6;48.8456326;13.12006609;25/09/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154782370;20.3;43.43819099;24.35293071;30/07/2018;0;Cropland;Other fresh vegetables;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154842358;8.9;43.32181991;24.39926953;05/06/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154862378;16.6;43.49506882;24.46792516;13/07/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154882406;14.7;43.73887038;24.55511359;13/07/2018;0;Cropland;Oats;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154902344;14.8;43.18774727;24.44104971;14/07/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;154902386;20.5;43.55878148;24.53447891;02/09/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155062358;12.8;43.28355316;24.66589952;23/07/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155002378;15.1;43.47067177;24.63810457;14/07/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155102384;16.6;43.50602759;24.77322643;05/06/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155142348;14.4;43.18118162;24.74022634;04/07/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155362396;15.8;43.56534626;25.1169654;15/10/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155182378;16.2;43.43889057;24.85671963;25/07/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155202358;15.4;43.25884093;24.83541126;28/07/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155282384;17.2;43.47395437;24.99191152;02/09/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155362346;17.3;43.12439426;25.00147679;26/10/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155302354;14.8;43.20572555;24.947271;21/09/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155322388;15.2;43.50203651;25.04974609;02/09/2018;0;Cropland;Vineyards;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155362364;17.9;43.28317823;25.04278572;24/07/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;144442892;18.1;49.1284356;11.68504498;20/06/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155562362;17.1;43.22926689;25.28004631;24/07/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155622354;16.1;43.14777308;25.33381599;02/09/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155542396;15.4;43.53253297;25.33571383;15/10/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155742340;13;43.00231888;25.44566213;01/08/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155802390;19.3;43.4315063;25.63685521;08/06/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155882404;13.5;43.53966948;25.76771829;23/09/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155962348;14.9;43.03178571;25.7294115;11/07/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155862392;16.6;43.4378538;25.71438302;26/07/2018;0;Cropland;Dry pulses;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155902364;19.4;43.18390382;25.69539227;23/09/2018;0;Cropland;Rape and turnip rape;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155902418;17.7;43.65903144;25.82616884;26/07/2018;0;Cropland;Rape and turnip rape;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155962430;13.6;43.7531377;25.92868934;22/09/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;156082450;15.9;43.90585025;26.12478298;23/09/2018;0;Cropland;Soya;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155482404;14.2;43.61401069;25.28168419;03/09/2018;0;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;156282430;13.5;43.69136838;26.31796644;02/08/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;156182448;18.3;43.8689037;26.24171669;22/09/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;156202458;15;43.95280153;26.29145427;23/09/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;156222438;18;43.77331253;26.26519026;03/08/2018;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;156302418;9.9;43.58209753;26.31199242;14/09/2018;0;Cropland;Other Leguminous  and mixtures for fodder;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;156482464;14.7;43.95020704;26.64853738;29/08/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
